
----------------------------Sysc 5404-----------------------------------------
---------------------------------------------------------
 Frame   Intra       Inter        Skip         IPR
---------------------------------------------------------
   0     38877           0           0     38877.000000
   1      1332       15559           0         0.085604
   2      3235       16246           3         0.199114
   3      3267       15247           0         0.214258
   4      4411       15589           3         0.282938
   5      2781       17323           0         0.160529
   6      3039       17074           3         0.177979
   7      3970       17117           5         0.231920
   8      2158       19569           0         0.110271
   9      1422       18487           0         0.076915
  10      1685       18776          12         0.089737
  11      2299       19166           0         0.119946
  12       553       20419          15         0.027081
  13       355       19629           6         0.018085
  14       752       19270          10         0.039022
  15       390       19733           0         0.019763
  16       929       16068           0         0.057813
  17       382       15026          31         0.025421
  18         0       14697          33         0.000000
  19         0       16165          22         0.000000
  20         0       15717          37         0.000000
  21         0       16903          37         0.000000
  22      1303       16673          37         0.078146
  23      1230       16787          37         0.073267
  24      2125       15931          32         0.133379
  25      2417       16082          30         0.150283
  26      1047       17856          36         0.058632
  27        80       18104           9         0.004419
  28       996       17240           0         0.057769
  29      1829       15344          24         0.119192
  30       854       15652           9         0.054558
  31      1115       15347           6         0.072648
  32       764       16136          18         0.047345
  33      1444       15797          13         0.091404
  34      1189       15325          19         0.077581
  35      1582       14965          24         0.105706
  36      1570       16187          19         0.096985
  37      2014       16840           4         0.119589
  38     42347           0           0     42347.000000
  39      9436       20627          32         0.457437
  40     14060       20034           6         0.701772
  41     17291       17386          16         0.994479
  42     21241       14069           6         1.509666
  43     21369       14233           0         1.501265
  44     18756       15288           3         1.226764
  45     23171        9530           4         2.431119
  46     23435        8762           5         2.674312
  47     26923        4811           0         5.594971
  48     29655        3581           3         8.278894
  49     28758        6081           3         4.728379
  50     19865       12082           6         1.644045
  51     18901        9634          10         1.961702
  52     17916       14827           9         1.208255
  53     25001        8926           3         2.800605
  54     19341       11695           9         1.653642
  55     16749       12901          14         1.298171
  56     20806        2624          24         7.926095
  57     18250        5364          11         3.401678
  58     12977         795           0        16.302763
  59      3035         664           0         4.563910
  60      4935        1659           0         2.972892
  61     12169        3346           0         3.635793
  62      5389        5131          41         1.050078
  63     11157        1272           0         8.764337
  64     11309        2434           0         4.644353
  65      9753        6792          18         1.435743
  66      6807        6683          30         1.018402
  67      6235       10690          34         0.583201
  68      8501        8252          38         1.030050
  69      2468       15280          29         0.161508
  70      7371       10468          36         0.704079
  71      8396        9955          45         0.843311
  72      9373       13300          16         0.704684
  73      6516       13982          44         0.465994
  74      7010       12915          43         0.542738
  75      6028       11736          34         0.513590
  76      8378       10440          38         0.802414
  77     15564        9279          24         1.677155
  78     19081       11634           7         1.639966
  79     16446       11764          15         1.397875
  80     14094       13692          10         1.029285
  81     21974        4664           0         4.710397
  82     17920        6066           8         2.953684
  83     14169        8325          11         1.701778
  84     13661        6728           0         2.030168
  85      8033       11124          22         0.722067
  86     10698        8178          29         1.307984
  87      8642        6700          38         1.289658
  88     10974        9371          33         1.170935
  89     16226        9845          33         1.647979
  90     13423       12870          33         1.042887
  91     19905       10284          25         1.935343
  92     22440        7597          27         2.953409
  93     23679       10771          15         2.198199
  94     17700       13951          27         1.268635
  95     17475       16945          18         1.031217
  96     16587       13700          42         1.210642
  97     17799       12177          33         1.461570
  98     15475       15669          42         0.987556
  99      9640       21082          38         0.457240
 100     13338       17947          24         0.743147
 101     13023       19818          17         0.657097
 102     14743       14874          40         0.991126
 103     18260           0           0     18260.000000
 104         0           0          10         0.000000
 105         0           0          10         0.000000
 106         0           0          10         0.000000
 107         0         441          21         0.000000
 108         0         452          21         0.000000
 109         0          42          16         0.000000
 110         0         371          24         0.000000
 111         0         195          21         0.000000
 112         0         289          25         0.000000
 113         0         628          27         0.000000
 114         0         315          26         0.000000
 115         0         499          22         0.000000
 116         0         190          23         0.000000
 117         0         769          35         0.000000
 118         0        1093          41         0.000000
 119         0        1432          41         0.000000
 120         0        1287          38         0.000000
 121         0        1430          41         0.000000
 122         0        1488          45         0.000000
 123         0         732          41         0.000000
 124         0        1255          43         0.000000
 125         0         816          40         0.000000
 126         0         503          40         0.000000
 127         0         570          33         0.000000
 128         0         880          44         0.000000
 129         0         916          33         0.000000
 130         0        1045          41         0.000000
 131         0        1313          41         0.000000
 132         0        1656          37         0.000000
 133         0        1386          37         0.000000
 134         0         977          45         0.000000
 135         0        1100          40         0.000000
 136         0         839          29         0.000000
 137         0         882          35         0.000000
 138         0        1134          34         0.000000
 139         0        1718          37         0.000000
 140         0        1575          39         0.000000
 141         0        1723          35         0.000000
 142         0        1273          40         0.000000
 143         0        1037          34         0.000000
 144         0         770          41         0.000000
 145         0         654          41         0.000000
 146         0         535          30         0.000000
 147         0         718          34         0.000000
 148         0         718          38         0.000000
 149         0         675          45         0.000000
 150         0         642          30         0.000000
 151         0         787          45         0.000000
 152         0         405          27         0.000000
 153         0           0          10         0.000000
 154         0         202          21         0.000000
 155         0         263          26         0.000000
 156         0         856          28         0.000000
 157         0         547          34         0.000000
 158         0         265          26         0.000000
 159         0         748          30         0.000000
 160         0          48          19         0.000000
 161         0         564          34         0.000000
 162         0         443          25         0.000000
 163         0        1473          41         0.000000
 164         0        1059          38         0.000000
 165         0         736          32         0.000000
 166         0        1005          36         0.000000
 167         0         896          41         0.000000
 168         0         789          32         0.000000
 169         0        1165          34         0.000000
 170         0        1064          38         0.000000
 171         0        1269          35         0.000000
 172         0        1145          46         0.000000
 173         0        1770          37         0.000000
 174         0        1432          31         0.000000
 175         0        1906          40         0.000000
 176         0        1147          33         0.000000
 177         0         419          32         0.000000
 178         0         833          37         0.000000
 179         0        1196          37         0.000000
 180         0        1063          27         0.000000
 181         0        1624          40         0.000000
 182         0        1535          38         0.000000
 183         0        1409          38         0.000000
 184         0        1247          40         0.000000
 185         0        1028          34         0.000000
 186         0         584          37         0.000000
 187         0        1009          37         0.000000
 188         0         982          38         0.000000
 189         0         870          36         0.000000
 190         0         801          43         0.000000
 191         0         847          43         0.000000
 192         0         966          35         0.000000
 193         0         461          33         0.000000
 194         0         740          46         0.000000
 195         0         933          41         0.000000
 196         0         851          37         0.000000
 197         0         774          44         0.000000
 198         0        1406          45         0.000000
 199         0         594          36         0.000000
 200         0         414          43         0.000000
 201         0         319          31         0.000000
 202         0         149          23         0.000000
 203         0         316          27         0.000000
 204         0         321          30         0.000000
 205         0         523          30         0.000000
 206         0         807          39         0.000000
 207         0        1014          39         0.000000
 208         0        1315          48         0.000000
 209         0        1195          38         0.000000
 210         0         698          36         0.000000
 211         0        1048          40         0.000000
 212         0         962          40         0.000000
 213         0         455          38         0.000000
 214         0         827          36         0.000000
 215         0         737          43         0.000000
 216         0         742          32         0.000000
 217         0         627          34         0.000000
 218         0         500          36         0.000000
 219         0         372          27         0.000000
 220         0         375          31         0.000000
 221         0         130          20         0.000000
 222         0          43          19         0.000000
 223         0          75          16         0.000000
 224         0         670          33         0.000000
 225         0         302          18         0.000000
 226         0         569          40         0.000000
 227         0         116          16         0.000000
 228         0         602          32         0.000000
 229         0         587          30         0.000000
 230         0         523          33         0.000000
 231         0         310          25         0.000000
 232         0         617          28         0.000000
 233         0         832          29         0.000000
 234         0         456          33         0.000000
 235         0         534          29         0.000000
 236         0         528          38         0.000000
 237         0        1243          29         0.000000
 238         0         965          34         0.000000
 239         0        1936          36         0.000000
 240         0        1773          37         0.000000
 241         0        1699          32         0.000000
 242         0        1069          32         0.000000
 243         0        1295          35         0.000000
 244         0         516          32         0.000000
 245         0         784          33         0.000000
 246         0         393          32         0.000000
 247         0         750          30         0.000000
 248         0         305          24         0.000000
 249         0         576          37         0.000000
